x,y,z
-0.5964363262,-0.825294932,0.137580986
-0.1122667702,1.073861236,0.1051085157
1.022891479,-0.6449415567,0.4312278432
-1.162371961,-0.1899286441,0.1835937201
0.7341756432,0.9844052685,0.04657765812
-0.2558034628,-1.176971263,0.1903237528
-0.6015882739,1.097728727,0.03150950324
1.157622207,-0.1397971119,0.312406509
-0.8336249927,-0.5740310678,0.1175606082
0.2316973472,1.040221443,0.09178671014
0.6609506226,-1.092029859,-0.214371234
-1.302763609,-0.01843128037,0.2313258086
1.119530679,0.4104139873,0.3460000796
-0.4602833495,-0.9783781881,0.1259183254
-0.3173234975,1.080835737,0.06258533947
1.106838665,-0.4695824427,0.3571933833
-1.054722913,-0.329240175,0.1265581171
0.5593926197,1.000486624,0.04944075409
-0.1597954482,-1.276941863,0.2029657606
-0.7411156287,1.092652651,-0.03531851276
1.177571926,0.07485615307,0.2948125109
-0.6942087271,-0.7374892845,0.08807472003
0.01720983137,1.052644238,0.06709064244
0.8260503172,-0.9543381492,-0.2221490146
-1.232968825,-0.1212958887,0.1615364204
0.8305645927,0.9589778109,-0.01888824354
-0.3345094914,-1.116102138,0.1247972416
-0.5043224238,1.083493327,0.009521198383
1.167671296,-0.270859409,0.3035440463
-0.9294106369,-0.4840288847,0.07947465089
0.3611506823,1.016045929,0.04234654731
0.5347619692,-1.142867042,-0.2465026963
-1.346789286,0.02386468756,0.2162496479
1.170945406,0.2870246679,0.3006565525
-0.5543124159,-0.8970994292,0.07002693691
-0.1950040617,1.061902461,0.03095500984
0.9729342884,-0.7971110971,-0.2533738105
-1.137481232,-0.2493549857,0.09920811958
0.6723647279,0.9749753867,-0.01073335203
-0.2256178242,-1.231838079,0.1329879092
-0.6639938193,1.081339769,-0.0528520335
1.202993934,-0.0584607054,0.2723924072
-0.7927867484,-0.6469679984,0.04337230187
0.1490872033,1.029971167,0.02426791043
0.7073957328,-1.018778724,-0.2407168725
-1.293285994,-0.06258569589,0.1428770141
1.13867169,0.4862491582,0.3291192943
-0.421077519,-1.04521949,0.0630152992
-0.3945166329,1.067185701,-0.01621606792
1.166765826,-0.397314186,0.3043425954
-1.021168281,-0.3966223277,0.04610134683
0.4858534503,0.99106623,-0.01180481878
0.4056357245,-1.182165546,-0.2882862558
-0.7884267543,1.074123628,-0.1228258064
1.211699333,0.1572014251,0.2647149666
-0.6517959426,-0.8102953071,0.01872548965
-0.06643127981,1.041230124,-0.005267511042
0.8663539129,-0.8716244217,-0.258412919
-1.211897016,-0.177042792,0.07587069156
0.7740467736,0.9494159213,-0.07491632626
-0.3013249176,-1.17477186,0.0660767862
-0.571520207,1.067883354,-0.07345753826
1.217162385,-0.1910971574,0.2598970076
-0.8899644395,-0.5561242884,0.003512484023
0.2801221723,1.006116912,-0.02339724899
0.5825008131,-1.07382479,-0.2692083715
-1.342022765,-0.01544872811,0.1270116702
1.194028198,0.3655309752,0.2802994433
-0.5136158545,-0.966216073,0.005428501753
-0.2748469138,1.048924174,-0.04615187569
1.003383064,-0.708053907,-0.2993654652
-1.10685088,-0.3141387557,0.01719793207
0.6027257931,0.9656158507,-0.07042351199
0.2763749165,-1.208493707,-0.3392198356
-0.7173376057,1.063616593,-0.1392928941
1.241343593,0.02410151541,0.2385711871
-0.7505639536,-0.7202611858,-0.02779400712
0.06524323705,1.019045849,-0.04627307946
0.7504740009,-0.9392588255,-0.2732565786
-1.276347108,-0.1142637362,0.05605322089
0.8619209673,0.9241571097,-0.1426146486
-0.3852843636,-1.107307925,0.002800569197
-0.4659588314,1.052335051,-0.09770237259
