model,true_torus_distance,learned_distance
r2_gw,0.1536758542060852,0.29692670702934265
r2_gw,0.5766599178314209,0.5677922964096069
r2_gw,0.6373593211174011,0.6129247546195984
r2_gw,0.34695419669151306,0.20401626825332642
r2_gw,0.2851184010505676,0.11884640157222748
r2_gw,0.6996628642082214,0.6396754384040833
r2_gw,0.8501023650169373,0.6263154745101929
r2_gw,0.7175124287605286,0.7331772446632385
r2_gw,0.8511356115341187,0.5063116550445557
r2_gw,0.672670304775238,0.5825116038322449
r2_gw,0.35473403334617615,0.5243843197822571
r2_gw,0.6711191534996033,0.19259659945964813
r2_gw,0.16567879915237427,0.003166778013110161
r2_gw,0.3936865031719208,0.40911608934402466
r2_gw,0.2955365478992462,0.3225851058959961
r2_gw,0.47450533509254456,0.10737692564725876
r2_gw,0.7195829749107361,0.27208051085472107
r2_gw,0.36855119466781616,0.5380038619041443
r2_gw,0.8021296262741089,0.5307703614234924
r2_gw,0.349582701921463,0.40948066115379333
r2_gw,0.6125192046165466,0.6301189661026001
r2_gw,0.8662065863609314,0.658291220664978
r2_gw,0.8164946436882019,0.6379778981208801
r2_gw,0.8694398999214172,0.6308450102806091
r2_gw,0.7194603085517883,0.25491487979888916
r2_gw,0.8872276544570923,0.6073294878005981
r2_gw,0.6417844891548157,0.46172475814819336
r2_gw,0.6461270451545715,0.7991560101509094
r2_gw,0.5178611278533936,0.04962094500660896
r2_gw,0.799167811870575,0.677952229976654
r2_gw,0.9267527461051941,0.7203871011734009
r2_gw,0.6983205676078796,0.6279954314231873
r2_gw,0.6898584365844727,0.8025155663490295
r2_gw,0.3005409240722656,0.3565737307071686
r2_gw,0.37043750286102295,0.025731658563017845
r2_gw,0.3489242196083069,0.4297455847263336
r2_gw,0.4356214106082916,0.5178955793380737
r2_gw,0.6767755746841431,0.35276323556900024
r2_gw,0.38476645946502686,0.04293370991945267
r2_gw,0.5715153813362122,0.28794917464256287
r2_gw,0.7257980108261108,0.6945720314979553
r2_gw,0.34602952003479004,0.4701186418533325
r2_gw,0.6321465969085693,0.09002386033535004
r2_gw,0.44817405939102173,0.5844606161117554
r2_gw,0.3749847412109375,0.36763596534729004
r2_gw,0.39553630352020264,0.218563973903656
r2_gw,0.34964773058891296,0.393092542886734
r2_gw,0.49367135763168335,0.49881985783576965
r2_gw,0.544960618019104,0.4392164945602417
r2_gw,0.6551997661590576,0.16273637115955353
r2_gw,0.47057849168777466,0.6400598287582397
r2_gw,0.46674972772598267,0.3454623222351074
r2_gw,0.6348900198936462,0.3413216769695282
r2_gw,0.6388806700706482,0.5815578103065491
r2_gw,0.3037431836128235,0.24134309589862823
r2_gw,0.6556510329246521,0.8143584728240967
r2_gw,0.5032052397727966,0.6381538510322571
r2_gw,0.6162195801734924,0.22702722251415253
r2_gw,0.3176927864551544,0.18704311549663544
r2_gw,0.3767167031764984,0.47298663854599
r2_gw,0.6204065680503845,0.7478740215301514
r2_gw,0.46918946504592896,0.5086327791213989
r2_gw,0.16964249312877655,0.21494793891906738
r2_gw,0.5075414180755615,0.6132400631904602
r2_gw,0.17109276354312897,0.3800191879272461
r2_gw,0.2803924083709717,0.2621104121208191
r2_gw,0.1548604816198349,0.13258567452430725
r2_gw,0.30594560503959656,0.3673306107521057
r2_gw,0.25563931465148926,0.0856093317270279
r2_gw,0.7438619136810303,0.5570863485336304
r2_gw,0.6515019536018372,0.6261086463928223
r2_gw,0.6978831887245178,0.14689576625823975
r2_gw,0.12023614346981049,0.10445917397737503
r2_gw,0.5647764801979065,0.7439600825309753
r2_gw,0.13528168201446533,0.19187772274017334
r2_gw,0.3743063509464264,0.2507694661617279
r2_gw,0.587109386920929,0.22383901476860046
r2_gw,0.5760042667388916,0.6211249232292175
r2_gw,0.505336582660675,0.26525044441223145
r2_gw,0.5177679061889648,0.5479884147644043
r2_gw,0.4703342616558075,0.38149869441986084
r2_gw,0.6560099124908447,0.6408777236938477
r2_gw,0.5625633597373962,0.3599911630153656
r2_gw,0.8691521286964417,0.6737656593322754
r2_gw,0.19882161915302277,0.251130074262619
r2_gw,0.7213563919067383,0.7228870987892151
r2_gw,0.5628161430358887,0.5711262822151184
r2_gw,0.7999307513237,0.6166331171989441
r2_gw,0.27479252219200134,0.43734654784202576
r2_gw,0.7003219723701477,0.10348643362522125
r2_gw,0.34116676449775696,0.4250989854335785
r2_gw,0.2906908094882965,0.196885883808136
r2_gw,0.7740806937217712,0.8301345705986023
r2_gw,0.6907056570053101,0.4288346767425537
r2_gw,0.5564140677452087,0.363141268491745
