target_x,target_y,target_z,width_4_x,width_4_y,width_4_z,width_16_x,width_16_y,width_16_z,width_64_x,width_64_y,width_64_z
0.8161541261,-0.2234983282,0.5328610886,1,0.06214721812,-0.4352495701,1,0.0470224497,-0.419705126,1,-0.1503247036,-0.523791338
0.8514366133,0.5224822243,-0.04547547503,1,-0.4691347883,0.2809800704,1,-0.4586241411,0.2873477714,1,-0.4268575882,0.3710360783
0.840718628,-0.3041472226,0.4479806418,1,-0.2783467739,0.3779812706,1,-0.2480051852,0.3827274082,1,-0.2904107251,0.4516711403
0.8535438858,-0.26580794,-0.4481171432,1,-0.1054632637,0.101194832,1,-0.08373098413,0.09239316102,1,-0.2211567808,0.3198960948
0.8568058912,-0.3474624726,-0.3809901506,1,0.8762733845,-0.6072232103,1,0.8403043438,-0.6350814878,1,0.6640552629,-0.5203228367
0.8530416857,-0.2304055526,0.4682234123,1,0.01515448567,0.3793643301,1,0.04142614108,0.3675060855,1,-0.01358749075,0.4747077471
0.8664290839,-0.275378809,0.4164938825,1,0.0856277572,-0.05282150448,1,0.06636737278,-0.03850578001,1,0.360695184,0.04307080646
0.8821942282,-0.2557345259,-0.3953899291,1,0.1870923959,-0.2650367928,1,0.156180696,-0.2477202465,1,0.15015666,-0.3015473096
0.8366138354,0.5430692639,0.07178485191,1,0.04226633676,-0.5830293684,1,0.04639923825,-0.5768014808,1,-0.1595832422,-0.5713418885
0.861639029,-0.2174750792,-0.4585659971,1,0.5334693556,-0.2681867316,1,0.5187509769,-0.2677131702,1,0.542768247,-0.1103783159
0.8245504289,0.5634122538,0.05179983153,1,-0.2512235334,-0.2366245784,1,-0.2334631058,-0.2317939243,1,-0.236987847,-0.4874917026
0.8808667925,0.4730022921,0.01850744751,1,-0.227786037,-0.3146389311,1,-0.2152594821,-0.301805852,1,-0.2350469773,-0.5077620145
0.8693071157,-0.2913035597,0.3993086208,1,0.2334950832,-0.3916886054,1,0.212249323,-0.3892360581,1,0.1616342842,-0.3950863974
0.8899855788,0.455585232,0.01917722409,1,-0.001372932853,0.1865110756,1,0.0140420276,0.1801153219,1,0.0311078197,0.3425554386
-0.8309680734,0.4177878989,0.3673490608,-1,0.2204360251,-0.4878412287,-1,0.2132746507,-0.4587418542,-1,0.1866932299,-0.5655903929
-0.8833474144,0.2785774709,0.3769508432,-1,0.1118676678,0.6622382949,-1,0.1218589673,0.6548474123,-1,0.214817614,0.5839176131
-0.8607735691,-0.4975857124,0.107132262,-1,0.5921794161,-0.2062069943,-1,0.5833271162,-0.1999771223,-1,0.5572239945,-0.1322485232
-0.8699490588,0.1948194323,-0.4530276194,-1,-0.4075495643,0.1473051791,-1,-0.3947314621,0.1479693739,-1,-0.552781021,0.1828075906
-0.8208537773,0.09438999903,-0.5632846566,-1,-0.02161324448,-0.0461181965,-1,-0.007874950443,-0.04662593304,-1,-0.03824560435,-0.1761340536
-0.8800946147,0.07022532554,-0.4695762694,-1,0.7233900412,-0.5404132918,-1,0.6887694029,-0.4878982586,-1,0.4296147665,-0.5204513239
-0.8517442623,0.4414528692,0.2822252221,-1,-0.2611212728,-0.2599237648,-1,-0.2471113709,-0.2467702647,-1,-0.2010707074,-0.2983717485
-0.8480306696,0.3072641997,0.4317785254,-1,0.2791746576,0.2663535776,-1,0.2714620698,0.2444340891,-1,0.3992076299,0.3578639686
-0.826517421,0.3936127112,0.4024151916,-1,-0.3131260833,0.1405460129,-1,-0.295219052,0.1400454672,-1,-0.5301079349,0.1778247221
-0.8279733889,0.09632957573,-0.5524316067,-1,-0.6325661959,0.1103645355,-1,-0.6510896468,0.1106567554,-1,-0.620058468,0.1822611463
-0.838676026,-0.4893524421,0.2390746973,-1,0.008795498755,-0.2213833394,-1,0.02702484189,-0.2085624103,-1,0.1129012887,-0.4715940123
-0.8563424908,0.4227936149,0.2965182922,-1,-0.3188501022,-0.3258634091,-1,-0.3160955612,-0.3191957248,-1,-0.2403447443,-0.345853781
-0.7903886803,0.07058107012,-0.6085261265,-1,0.2402813462,0.2184862459,-1,0.2277912907,0.1929803616,-1,0.3872751874,0.3423966012
-0.8521533691,0.06952788528,-0.5186525897,-1,0.4466471937,0.007156760065,-1,0.4369439943,-0.00892563422,-1,0.4723979564,0.1802626827
-0.8284373709,-0.5571213884,0.05750896456,-1,-0.4563539171,-0.2024579034,-1,-0.462244887,-0.1941418529,-1,-0.5536620905,0.07222875043
-0.8226887258,-0.5495764549,0.145426891,-1,-0.2724489211,-0.003466239842,-1,-0.2514616584,0.005753883733,-1,-0.5126994614,0.1475987511
-0.8616258626,0.3209488222,0.3931828155,-1,0.02005204271,0.04654820252,-1,0.02328388931,0.03413192005,-1,-0.02716392826,0.01272508623
-0.8160037477,-0.02537707145,-0.5774892969,-1,0.243891824,0.05223690876,-1,0.2283771881,0.02910056487,-1,0.3803305726,0.2736734139
-0.8049267175,0.06067513498,-0.5902639304,-1,0.2465249578,0.21137839,-1,0.2339457253,0.1860070351,-1,0.3891295054,0.3403312098
-0.8704511465,0.3719185459,0.322476971,-1,0.6743162573,-0.9142853862,-1,0.5886169051,-0.8303967732,-1,0.3738565788,-0.7946748428
-0.834597975,0.1992424921,-0.5135646497,-1,0.05671101177,0.4787668382,-1,0.04937231318,0.4519246576,-1,0.2038383435,0.4877149818
-0.8494972612,0.1292922989,-0.5115055274,-1,0.1852118661,-0.5617284852,-1,0.1762647328,-0.52911322,-1,0.1837091711,-0.5872143133
-0.8017266764,0.1241071071,-0.5846638028,-1,-0.2611593324,-0.03584698612,-1,-0.2396409546,-0.02494914111,-1,-0.5071715338,0.1393044868
-0.820005698,-0.5320582802,0.2109612327,-1,-0.3814240915,0.06457730868,-1,-0.3674029935,0.07072215787,-1,-0.5438147795,0.1654723441
-0.8845787786,-0.410918171,0.2206051704,-1,-0.3729920306,-0.1824080354,-1,-0.367101679,-0.1705980264,-1,-0.528049403,0.08241244567
-0.7971959607,0.1449352535,-0.5860651606,-1,-0.02337816257,0.2651614931,-1,-0.02866090692,0.2387143247,-1,-0.007014823785,0.3508657423
