model,true_so3_distance,learned_distance
r3_gw,0.8235616683959961,0.7573626637458801
r3_gw,0.7139306664466858,0.624038815498352
r3_gw,0.8469076156616211,0.6787557601928711
r3_gw,0.9074538350105286,0.5197080969810486
r3_gw,0.41199126839637756,0.2440047264099121
r3_gw,0.5860356688499451,0.4962311089038849
r3_gw,0.9662922024726868,0.37164223194122314
r3_gw,0.5223390460014343,0.42593255639076233
r3_gw,0.6572206020355225,0.45114317536354065
r3_gw,0.9974963068962097,0.6839118599891663
r3_gw,0.8026039600372314,0.6011675000190735
r3_gw,0.5778937339782715,0.24084295332431793
r3_gw,0.7943254709243774,0.45602062344551086
r3_gw,0.8545622825622559,0.5786154270172119
r3_gw,0.6746049523353577,0.2110971063375473
r3_gw,0.3606576919555664,0.27203506231307983
r3_gw,0.6152223348617554,0.47001025080680847
r3_gw,0.6672917008399963,0.569269597530365
r3_gw,0.9452403783798218,0.7519626617431641
r3_gw,0.8461379408836365,0.5164346098899841
r3_gw,0.5229357481002808,0.23959049582481384
r3_gw,0.9807872176170349,0.6851670145988464
r3_gw,0.9204846024513245,0.61344975233078
r3_gw,0.8751164674758911,0.6418838500976562
r3_gw,0.9624776840209961,0.5782313942909241
r3_gw,0.7978055477142334,0.6276717782020569
r3_gw,0.29072698950767517,0.31506583094596863
r3_gw,0.6895897388458252,0.1298312544822693
r3_gw,0.7444198727607727,0.5671157240867615
r3_gw,0.1813526302576065,0.1425124853849411
r3_gw,0.9472209811210632,0.7684615850448608
r3_gw,0.8300492167472839,0.5537149310112
r3_gw,0.2493123859167099,0.12485241144895554
r3_gw,0.5194776654243469,0.40785646438598633
r3_gw,0.7363750338554382,0.602508544921875
r3_gw,0.972227931022644,0.6253466606140137
r3_gw,0.6289769411087036,0.08005046099424362
r3_gw,0.9636940360069275,0.4711076319217682
r3_gw,0.9747441411018372,0.33673179149627686
r3_gw,0.9624619483947754,0.4195660650730133
r3_gw,0.7508921027183533,0.4564328193664551
r3_gw,0.9966387748718262,0.4947599768638611
r3_gw,0.44095689058303833,0.025116048753261566
r3_gw,0.4049391746520996,0.21625889837741852
r3_gw,0.7007264494895935,0.4845048785209656
r3_gw,0.6190735101699829,0.6631133556365967
r3_gw,0.9933124780654907,0.6288467645645142
r3_gw,0.8913334608078003,0.47627657651901245
r3_gw,0.8231906890869141,0.5894837975502014
r3_gw,0.6121566295623779,0.5499688982963562
r3_gw,0.9461376070976257,0.5996001958847046
r3_gw,0.812552809715271,0.08618324995040894
r3_gw,0.948098361492157,0.6694921851158142
r3_gw,0.3961210548877716,0.48845428228378296
r3_gw,0.9161832332611084,0.5363585352897644
r3_gw,0.47960251569747925,0.45830827951431274
r3_gw,0.9346234202384949,0.554223358631134
r3_gw,0.6312151551246643,0.538435161113739
r3_gw,0.5950461030006409,0.5786582231521606
r3_gw,0.599909245967865,0.41836079955101013
r3_gw,0.6808828711509705,0.02309119515120983
r3_gw,0.5936198234558105,0.5556764602661133
r3_gw,0.7678363919258118,0.6491788029670715
r3_gw,0.9844658970832825,0.6598019599914551
r3_gw,0.4758782386779785,0.13860434293746948
r3_gw,0.38980430364608765,0.09773988276720047
r3_gw,0.6431506872177124,0.5355227589607239
r3_gw,0.9123878479003906,0.6845006942749023
r3_gw,0.71360182762146,0.6365452408790588
r3_gw,0.9544792175292969,0.7221382856369019
r3_gw,0.6664749383926392,0.4466467797756195
r3_gw,0.6581724286079407,0.5092481970787048
r3_gw,0.7489529848098755,0.5744543075561523
r3_gw,0.5409172177314758,0.3283718526363373
r3_gw,0.6762163043022156,0.2505203187465668
r3_gw,0.6404393315315247,0.4959397315979004
r3_gw,0.6140710115432739,0.5341745615005493
r3_gw,0.10955148935317993,0.14990730583667755
r3_gw,0.6126459240913391,0.1568797081708908
r3_gw,0.8568544387817383,0.571786642074585
r3_gw,0.8034805655479431,0.4896574318408966
r3_gw,0.6933997869491577,0.5643890500068665
r3_gw,0.6347983479499817,0.5652463436126709
r3_gw,0.7528099417686462,0.12789641320705414
r3_gw,0.27185502648353577,0.016847766935825348
r3_gw,0.717909038066864,0.5358256697654724
r3_gw,0.8696468472480774,0.5623540878295898
r3_gw,0.7010552883148193,0.614158570766449
r3_gw,0.2560960054397583,0.43237966299057007
r3_gw,0.706669807434082,0.4834446310997009
r3_gw,0.3721681833267212,0.42816367745399475
r3_gw,0.39564648270606995,0.3981376588344574
r3_gw,0.6885027289390564,0.47978436946868896
r3_gw,0.5516003966331482,0.49920564889907837
r3_gw,0.7881211042404175,0.6436883211135864
r3_gw,0.7929313778877258,0.5663679838180542
r3_gw,0.8832569122314453,0.7346522808074951
r3_gw,0.7342044711112976,0.6116425395011902
r3_gw,0.6542223691940308,0.5941742062568665
r3_gw,0.590852677822113,0.6451478600502014
r3_gw,0.5864699482917786,0.35234910249710083
r3_gw,0.6621067523956299,0.40589892864227295
r3_gw,0.832635760307312,0.29543259739875793
r3_gw,0.9221869111061096,0.5609079599380493
r3_gw,0.5452434420585632,0.48073428869247437
r3_gw,0.6496614217758179,0.646964967250824
r3_gw,0.8031148910522461,0.7236053347587585
r3_gw,0.33560600876808167,0.3204813599586487
r3_gw,0.7899478673934937,0.542546808719635
r3_gw,0.40170127153396606,0.4385015368461609
r3_gw,0.7706862688064575,0.7056636810302734
r3_gw,0.3659183084964752,0.2513398826122284
r3_gw,0.6721515655517578,0.4363130033016205
r3_gw,0.6615468263626099,0.49677756428718567
r3_gw,0.6837541460990906,0.6700692176818848
r3_gw,0.4318237602710724,0.4192579388618469
r3_gw,0.6887288689613342,0.26878252625465393
r3_gw,0.5484206080436707,0.3975958526134491
r3_gw,0.3933403491973877,0.18959344923496246
r3_gw,0.5624608993530273,0.5778489112854004
r3_gw,0.9484257102012634,0.5033473372459412
r3_gw,0.933066725730896,0.11445365846157074
r3_gw,0.37571340799331665,0.4215454161167145
r3_gw,0.8987933993339539,0.6399126648902893
r3_gw,0.8409886956214905,0.7885336875915527
r3_gw,0.9667616486549377,0.6174659729003906
r3_gw,0.7988044619560242,0.5676762461662292
r3_gw,0.6496126651763916,0.19187761843204498
r3_gw,0.9054505825042725,0.4365180730819702
r3_gw,0.6985847353935242,0.4445296823978424
r3_gw,0.6933625936508179,0.5202299356460571
r3_gw,0.8401235938072205,0.7678645253181458
r3_gw,0.8459324240684509,0.594045877456665
r3_gw,0.8528844118118286,0.7076582908630371
r3_gw,0.343283474445343,0.04197704419493675
r3_gw,0.3311549723148346,0.34325870871543884
r3_gw,0.8740715980529785,0.6397203207015991
r3_gw,0.594481348991394,0.44327300786972046
r3_gw,0.5390710234642029,0.48372381925582886
