method,rank,head_parameters,decoder_parameters,vae_parameters,teacher_head_parameters,head_compression,teacher_output_rmse,worst_local_length_distortion,p95_local_length_distortion,pass_5_percent,teacher_triplet_agreement,reconstruction_mse,reconstruction_psnr,minimum_teacher_metric_eigenvalue,weighted_svd_next_singular_value,geometry_covariance_multiplier,geometry_trace_weight,seed,teacher_epochs,teacher_train_examples,covariance_sample_count,metric_sample_count,reconstruction_sample_count
raw,57,49120,53472,162468,50960,1.0374592833876222,0.03460827741292941,0.07452060466096166,0.05717556175451269,False,0.9855,0.0494034279362832,13.062429158099196,3.188252029393138,1.4967745752576964,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,58,49968,54320,163316,50960,1.0198527057316682,0.03376883979484424,0.07016048906159034,0.05469878499056567,False,0.9875,0.049321331741108476,13.069652053932906,3.188252029393138,1.4619772179901684,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,59,50816,55168,164164,50960,1.0028337531486147,0.03271849479441055,0.06794284723617339,0.05461142123490274,False,0.986,0.04922514153759626,13.078130264563011,3.188252029393138,1.4004651169047524,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,60,50960,55312,164308,50960,1.0,0.02832932095655189,0.04944187565214886,0.03366581394321337,True,0.9931666666666666,0.04891890890546922,13.10523238095654,3.188252029393138,1.385643169372398,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,61,50960,55312,164308,50960,1.0,0.027347207333996336,0.044631002238811,0.033165283919459804,True,0.9931666666666666,0.048857590508137226,13.110679547760686,3.188252029393138,1.3301768941591694,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,62,50960,55312,164308,50960,1.0,0.026992303605550196,0.04343291032917629,0.03267939076944605,True,0.9921666666666666,0.04882673175051569,13.113423445305216,3.188252029393138,1.2761076936737725,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,63,50960,55312,164308,50960,1.0,0.016803751539695665,0.022367640561083757,0.018908764249746583,True,0.9988333333333334,0.048255512857426276,13.164530643555468,3.188252029393138,1.259952550989461,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,64,50960,55312,164308,50960,1.0,3.4445833508774533e-16,1.3691636713275557e-10,8.549235763766202e-11,True,1.0,0.04793010174497432,13.193916490963822,3.188252029393138,0.0,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,1,1632,5984,114980,50960,31.225490196078432,0.1199617492961759,1.0,1.0,False,0.5481666666666667,0.06679949225980945,11.75226838566386,3.188252029393138,1.8195439265366529,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,2,2480,6832,115828,50960,20.548387096774192,0.10103742904439926,0.9996247194040242,0.9677413364215292,False,0.6008333333333333,0.061787012700149656,12.091028016975933,3.188252029393138,1.577359546571338,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,3,3328,7680,116676,50960,15.3125,0.08292749522101585,0.986865986511347,0.8454694548885437,False,0.6343333333333333,0.057735713982147344,12.385554591631516,3.188252029393138,1.29383815388633,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,4,4176,8528,117524,50960,12.203065134099617,0.06904758567277455,0.9312874118326031,0.7187578558419822,False,0.6751666666666667,0.05487370054124271,12.606357511133726,3.188252029393138,1.1862099092271452,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,5,5024,9376,118372,50960,10.143312101910828,0.05448767041133355,0.7701657534868889,0.5894019351085353,False,0.7741666666666667,0.05252709339078833,12.796166304031862,3.188252029393138,0.9126345587683803,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,6,5872,10224,119220,50960,8.678474114441418,0.044055347639161975,0.695824417293995,0.5484726617280913,False,0.8353333333333334,0.05110533931495932,12.915337238596571,3.188252029393138,0.8030071536758142,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,7,6720,11072,120068,50960,7.583333333333333,0.03288929708142164,0.6107682609964924,0.3096521427878666,False,0.8813333333333333,0.0499079327621297,13.018304186851354,3.188252029393138,0.6264219445832656,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,8,7568,11920,120916,50960,6.733615221987315,0.024524776304983873,0.5763681331664025,0.24525773904905424,False,0.9191666666666667,0.04924467403496608,13.07640732928839,3.188252029393138,0.5503787430841821,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,9,8416,12768,121764,50960,6.055133079847908,0.014479417645567852,0.1985003253471136,0.09529367154381158,False,0.9773333333333334,0.04854015533825678,13.138988381721969,3.188252029393138,0.3762741551768232,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
value,10,9264,13616,122612,50960,5.500863557858376,0.006296357000272911,0.10210224924209399,0.03183740410652306,False,0.9961666666666666,0.04816493438037544,13.172690270576723,3.188252029393138,0.12208006773242248,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
