teacher,teacher_frequency,teacher_derivative_amplitude,teacher_s,teacher_M1,method,repeat,seed,width,steps,evaluation_grid_size,output_rmse_tolerance,distance_distortion_tolerance,parameter_count,output_rmse,minimum_student_std,epsilon1_grid_max,q_theory,delta_cert,distance_distortion_bound,metric_distortion_max,metric_length_distortion_max,distance_distortion_max,distance_distortion_p95,triplet_accuracy,hard_triplet_accuracy,hard_triplet_fraction,certified_triplet_accuracy_lower_bound,triplet_accuracy_on_certified_subset,certified_all_distance_pass,empirical_all_distance_pass,certificate_scope
plain,0,0.0,1.0,1.0,c1,1,20270895,64,2500,48,0.02,0.05,5000,0.0005292040322105494,0.3129832461588264,0.00748619922136442,0.015028441621510796,0.015028441621510796,0.0075426667213903675,0.011257734795725116,0.005644799277303103,0.027743971524211597,0.024183837947359222,0.9768880208333334,0.9603794642857143,0.5833333333333334,0.9241536458333334,0.9961253962662909,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,c1,1,20270959,128,2500,48,0.02,0.05,18184,0.00024208499520514537,0.3135368062331032,0.0038604905196794924,0.00773588442641152,0.00773588442641152,0.003875451776441552,0.005456890213703103,0.0027247330218314048,0.0254128665716995,0.024429879710231306,0.9772135416666666,0.9609375,0.5833333333333334,0.9625651041666666,0.9885018599932364,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,c1,1,20271087,256,2500,48,0.02,0.05,69128,0.00018173208975727652,0.3135397334430364,0.0025692015622655615,0.005145003921198671,0.005145003921198671,0.0025758193833471665,0.0037385991911802474,0.0018675557134186782,0.025610420972377312,0.024456489106240042,0.9772135416666666,0.9609375,0.5833333333333334,0.9798177083333334,0.9843853820598006,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,c1,2,20270935,4,2500,48,0.02,0.05,80,0.015556708955176914,0.298185611560278,0.1285247919947752,0.2735682061468506,0.2735682061468506,0.1476903181043,0.23118676868001709,0.12318004623527024,0.10095526468471194,0.033846021345853,0.9671223958333334,0.9436383928571429,0.5833333333333334,0.294921875,1.0,0,0,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,c1,2,20270939,8,2500,48,0.02,0.05,184,0.002472984634294087,0.3100440852162106,0.030864201954791046,0.06268100287188821,0.06268100287188821,0.03184763744123842,0.04741051490617143,0.023993091677200984,0.0367549151031783,0.02411817040556578,0.9759114583333334,0.9587053571428571,0.5833333333333334,0.642578125,1.0,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,c1,2,20270947,16,2500,48,0.02,0.05,488,0.0014407176903741483,0.30919984879341,0.01862915622604077,0.037605357913775776,0.037605357913775776,0.018982853316913628,0.03228099122797268,0.016272899238804484,0.03508538448510601,0.02425694062606215,0.9765625,0.9598214285714286,0.5833333333333334,0.7942708333333334,1.0,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,c1,2,20270963,32,2500,48,0.02,0.05,1480,0.000891635388390759,0.31266684803869055,0.013454679383419826,0.027090387164150274,0.027090387164150274,0.013638193746407401,0.019140720688950452,0.009524997555261372,0.03102415714744433,0.024145065622588634,0.9765625,0.9598214285714286,0.5833333333333334,0.8531901041666666,0.9996184662342618,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,c1,2,20270995,64,2500,48,0.02,0.05,5000,0.0005261397436890497,0.3129400351371101,0.008096289078009074,0.016258128052852837,0.016258128052852837,0.008162376219198353,0.011210332091008413,0.005589544541414027,0.02658923976311045,0.02432860166407157,0.9768880208333334,0.9603794642857143,0.5833333333333334,0.9176432291666666,0.9971621142249024,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,c1,2,20271059,128,2500,48,0.02,0.05,18184,0.0002707792305524982,0.3135880655166486,0.0041758482660630885,0.00836913424086736,0.00836913424086736,0.004193359251339124,0.006738733039955314,0.00337506204187088,0.025746075765303633,0.02437318226489201,0.9772135416666666,0.9609375,0.5833333333333334,0.9596354166666666,0.9898236092265943,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,c1,2,20271187,256,2500,48,0.02,0.05,69128,0.00017364909581890867,0.3136555887647146,0.002779387396193899,0.0055664997866859195,0.0055664997866859195,0.0027871339511738036,0.004475015734091481,0.002240016704463832,0.025786765042381976,0.024545828754784393,0.9772135416666666,0.9609375,0.5833333333333334,0.9772135416666666,0.9843437708194537,1,1,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,value,0,20360735,4,2500,48,0.02,0.05,80,0.02883304058712706,0.2903513796898898,0.32827820040534234,0.8956342578341917,1.3994285278659242,inf,0.8137836869867339,0.3467678667783598,0.2581403307821888,0.07845269444417012,0.9130859375,0.8488108720271801,0.5748697916666666,0.0,nan,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,value,0,20360739,8,2500,48,0.02,0.05,184,0.020398917618800257,0.3000135286170519,0.27121400237950044,0.7244706407975087,1.1319853762461072,inf,0.7242451814214275,0.31310516769275853,0.23444417237243442,0.06938635196145607,0.9283854166666666,0.8754246885617214,0.5748697916666666,0.0,nan,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,value,0,20360747,16,2500,48,0.02,0.05,488,0.017943708785524853,0.3057146336766545,0.22582784541018422,0.5929850447470482,0.9265391324172626,0.7289633464220431,0.6008708602104742,0.26525525496260016,0.24349593714669804,0.06495731470463062,0.9319661458333334,0.8816534541336354,0.5748697916666666,0.015299479166666666,1.0,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,value,0,20360763,32,2500,48,0.02,0.05,1480,0.017745763742384596,0.3082836436605958,0.21896049553560898,0.573448887890661,0.8960138873291575,0.677531222176716,0.6214423441607833,0.27335868637269023,0.23847080391701603,0.06612891021538837,0.9319661458333334,0.8816534541336354,0.5748697916666666,0.025065104166666668,1.0,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,value,0,20360795,64,2500,48,0.02,0.05,5000,0.01752777052267469,0.31136581764857146,0.2128842776015488,0.5562419818936504,0.8691280967088285,0.6382377807299779,0.5900221666560603,0.260960810912084,0.22526565529786402,0.06558146978214958,0.9319661458333334,0.8816534541336354,0.5748697916666666,0.032877604166666664,1.0,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,value,0,20360859,128,2500,48,0.02,0.05,18184,0.01742157264320643,0.3089700984505984,0.21046457137611846,0.5494103071072175,0.8584536048550272,0.6237734789452334,0.5734325433390266,0.25436539466736985,0.2287967853335766,0.06501009477376234,0.9332682291666666,0.8839184597961495,0.5748697916666666,0.037109375,1.0,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,value,0,20360987,256,2500,48,0.02,0.05,69128,0.013233652505916169,0.30108923786948694,0.2088339574870614,0.5448131197686551,0.8512704996385234,0.6143453612861935,0.45787535882575403,0.20742509449893176,0.1458551032881943,0.04699949565282896,0.9524739583333334,0.9173272933182333,0.5748697916666666,0.037760416666666664,1.0,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,value,1,20360835,4,2500,48,0.02,0.05,80,0.030608323547063512,0.28235740614986543,0.34339002299099763,0.9420527630681521,1.4719574422939874,inf,0.9139213841563096,0.38344547567163256,0.34823496172612467,0.08253966210045223,0.919921875,0.8607021517553793,0.5748697916666666,0.0,nan,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,value,1,20360839,8,2500,48,0.02,0.05,184,0.020731571063959356,0.29308108239575004,0.2729458465037877,0.7295694667327597,1.1399522917699367,inf,0.7722023712946464,0.33124091407026945,0.2371048255157724,0.06892117477267293,0.9290364583333334,0.8765571913929785,0.5748697916666666,0.0,nan,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,value,1,20360847,16,2500,48,0.02,0.05,488,0.01796368959100005,0.3041019862407122,0.22777360777012523,0.5985374750449194,0.9352148047576864,0.7454706397243853,0.6273753868455727,0.27568624153652,0.24757462490632354,0.06632468098989525,0.9309895833333334,0.8799546998867497,0.5748697916666666,0.013346354166666666,1.0,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,value,1,20360863,32,2500,48,0.02,0.05,1480,0.01771509712746547,0.3074346467662083,0.21855779703887285,0.5723062235397799,0.8942284742809059,0.6747746539411572,0.5977126576460805,0.2640065892415595,0.22688784955102492,0.06627047937418634,0.9342447916666666,0.8856172140430351,0.5748697916666666,0.025390625,1.0,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,value,1,20360895,64,2500,48,0.02,0.05,5000,0.017527072314561392,0.3109977235841349,0.21391873779732698,0.5591661970943862,0.8736971829599782,0.6446089238036192,0.578131128112314,0.2562368917176068,0.23416596869432715,0.06474259469620292,0.931640625,0.8810872027180068,0.5748697916666666,0.030924479166666668,1.0,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,value,1,20360959,128,2500,48,0.02,0.05,18184,0.015990571167913362,0.30879775444183966,0.20619805744798306,0.537392976770481,0.8396765262038764,0.5995958619143359,0.5402012911897547,0.2410484644806401,0.19009526914050245,0.05937604656060811,0.9401041666666666,0.8958097395243488,0.5748697916666666,0.0400390625,1.0,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,value,1,20361087,256,2500,48,0.02,0.05,69128,0.01173429996540978,0.30761973197002157,0.20496932783786284,0.5339388121651761,0.8342793940080876,0.5929120414555198,0.3965176526332681,0.18174348004686203,0.1350376391116075,0.041922697781328906,0.9563802083333334,0.9241223103057757,0.5748697916666666,0.041666666666666664,1.0,0,0,fixed_evaluation_grid
warped,4,0.2,0.8,1.2,value,2,20360935,4,2500,48,0.02,0.05,80,0.02690248623987326,0.288670730455167,0.33542589614757645,0.9175326825605883,1.433644816500919,inf,0.864027554345141,0.3652939443010581,0.252364367525469,0.07674785834605768,0.9176432291666666,0.8567383918459797,0.5748697916666666,0.0,nan,0,0,fixed_evaluation_grid
