pair_index,left_pool_index,right_pool_index,left_label,right_label,straight_teacher_length,geodesic_candidate_teacher_length,straight_relative_excess,passing_student,fixed_teacher_path_student_length_error,length_resolution_relative_gap,maximum_latent_edge,normalized_boundary_clearance,minimum_teacher_metric_eigenvalue,maximum_teacher_metric_condition_number
85,2490,2340,5,6,6.382703488443649,6.215919164580843,0.026831803864690862,rank 12,0.0007409075206897819,4.862309217479321e-07,0.049358875387822035,0.2937205490070064,6.813815057820075,2.30997427194728
86,696,2065,2,1,5.320414580518246,5.154721860779081,0.03214387200983193,rank 12,0.0034765082190233443,2.529543163820591e-07,0.05624027553464345,0.04998504706181224,3.293714021243723,4.697841096970269
87,1421,497,4,0,5.6633028878815495,5.625646119115906,0.00669376778565689,rank 12,0.0007949805559708256,2.1969631447404936e-08,0.037141350960358796,0.26447878559218296,9.082754537497745,2.235334013559158
88,2842,604,5,8,4.7182088044689685,4.597808657649528,0.026186419615163103,rank 12,0.000997995282060793,2.48869995944645e-07,0.032352810113934115,0.26062002043652494,6.886085876709188,2.294063385301415
89,2437,309,7,6,6.381153640821396,6.1741497976606645,0.03352750580155406,rank 12,0.0007972682899903827,3.488771653792355e-07,0.051483877323341816,0.26519552976413435,6.241578598064518,2.3505605003123216
90,1547,2268,6,7,4.104986716051618,4.07958365613142,0.006226875598449588,rank 12,0.0005472314431005376,9.85392888397385e-08,0.031227010566028335,0.3303274462955355,6.940943503442437,1.8179764053913159
91,962,109,8,4,6.621678989167354,6.611572214764527,0.001528649173680341,rank 12,0.0015694608140388588,1.4936569514567566e-07,0.05513204357032719,0.22644983554970766,4.526946798713302,3.77089612374179
92,2061,141,0,5,6.399660436233043,6.391417232254074,0.0012897302240526543,rank 12,0.0009370856926638194,6.355791470902261e-08,0.04386960758548993,0.26920239097117815,9.158509025566264,1.9149180874358458
93,100,2287,6,9,5.0355952938217445,4.9668630632361515,0.013838156943431157,rank 12,0.0004654098888923208,3.01755527232217e-08,0.03728644966927056,0.34434010540430315,7.444343542624031,1.4671700935459517
94,2240,2279,1,3,5.255480888063908,5.247980721234262,0.0014291528929020192,rank 12,0.00214718346920717,1.0575811182356176e-07,0.04414589123640238,0.05542429361759023,5.026561030340735,1.936672769403697
95,835,765,9,7,4.307908404091972,4.307253105928614,0.0001521382995710585,rank 12,0.001300323773627099,6.037731670183177e-08,0.0317930010821841,0.13489295216585218,7.577196418454287,1.792693764561681
96,18,2413,6,2,5.614889288461702,5.593237142305808,0.0038711296526519057,rank 12,0.00087914379569487,7.931242318459653e-08,0.03554732183597324,0.3401371368125862,10.162304659345287,1.4148623059971124
97,192,1637,1,4,5.946730219156325,5.911207785788134,0.006009335935304838,rank 12,0.0016862146468850092,5.0589516131793744e-08,0.049216540128871014,0.05206471874732637,5.944832721651343,1.9948407748972907
98,998,672,2,8,6.7427460072782095,6.710081937793163,0.0048679091832057875,rank 12,0.0010330429122322737,2.072675736597418e-07,0.038921772885692485,0.28044486067610336,7.993365136839898,1.7753597871902718
99,1456,52,5,1,5.203020819800182,5.107561382366898,0.018689826766026485,rank 12,0.0015151725499322755,1.0780556558565024e-07,0.0404997939013249,0.07409547172962819,5.892708407837916,2.713489833591541
