pair_index,left_pool_index,right_pool_index,left_label,right_label,straight_teacher_length,geodesic_candidate_teacher_length,straight_relative_excess,passing_student,fixed_teacher_path_student_length_error,length_resolution_relative_gap,maximum_latent_edge,normalized_boundary_clearance,minimum_teacher_metric_eigenvalue,maximum_teacher_metric_condition_number
53,2495,2560,6,7,12.469087771411392,12.318450035001266,0.01222862746385367,rank 13,0.000989743227961526,2.2740215177563528e-07,0.06248628433075798,0.15315346275737038,12.963811300139245,2.7589194049016705
54,759,1577,1,5,9.941461909306671,9.902737456228566,0.003910479627403207,rank 13,0.0006056755633668809,2.8351436798246255e-07,0.042959373340261085,0.14047093924137458,8.807854580053567,6.022354887810295
55,466,2238,6,5,14.774850395503167,14.670460398892425,0.0071156592071659475,rank 13,0.0007588871730318525,3.8533557678022134e-07,0.07000054459437531,0.22639104213841107,13.597739599862315,3.47757587866386
56,692,1944,5,0,10.60410703239816,10.53357710250004,0.006695724463950725,rank 13,0.0006573498610827899,1.326745409091501e-07,0.038520402532233794,0.2716115230332311,12.429150319378836,4.250911428750237
57,433,1320,3,6,12.03128619952298,12.004837829700357,0.0022031426161532863,rank 13,0.0011301864245940596,2.321723568954326e-08,0.05839067022487637,0.17537143210429415,11.973063438491442,2.5221381948174835
58,51,805,9,6,14.124085733245112,13.532131159100722,0.04374437161335698,rank 13,0.0010493040988219793,1.2705262129042438e-06,0.055745009386650966,0.29476799587800023,22.202714893480366,2.7919038845827413
59,2945,2510,9,1,14.466009717251257,14.23912786381919,0.015933690293529867,rank 13,0.0007779465984858458,4.956386905341503e-07,0.057149183447715614,0.26055541400237264,9.896838000374492,5.809342312926141
60,1447,1989,3,7,9.902745477300533,9.761293610274791,0.014491098482771747,rank 13,0.0007970818944683655,3.790194542663272e-07,0.036042925037187236,0.29967247772591066,20.722916204581157,3.218964431938464
61,1151,2966,0,5,12.380959351191013,12.053141885428925,0.027197677491740846,rank 13,0.0010634926612371753,4.876741359627346e-07,0.04452075669239476,0.3206086082127363,22.453596126355244,2.6967886823326093
62,746,1192,1,2,12.086097415168958,11.887410896028687,0.016714028048500307,rank 13,0.0010024067017990745,8.03075353328353e-07,0.07989192549775484,0.24348703112546333,9.61233489562817,5.99440633921841
63,1745,2878,6,1,8.386222601036984,8.361612618575132,0.002943210070170066,rank 13,0.0007435803960254006,2.5411590443003007e-07,0.035960693849276734,0.1722352799369845,13.996945361128821,2.4849600158361227
64,1806,1077,8,2,11.664543184998251,11.650374832119203,0.0012161285008605027,rank 13,0.0005774910748427287,2.015263574906001e-07,0.06503585611985621,0.1525228052675329,9.89174529891384,3.1692763643436423
65,293,2380,3,4,11.116576554683405,11.113975478552913,0.00023403651875164577,rank 13,0.0006327608264651285,3.1032542757714054e-07,0.04604166293829229,0.20331052009523293,16.960039722266387,2.8807579912037653
66,1672,560,5,3,13.268892366957576,13.099580861000545,0.012924955977873909,rank 13,0.00124879155528701,7.218522595220378e-07,0.10050487108937509,0.11951852212058536,5.221194685441008,5.940323086527278
67,1289,1177,7,4,14.796107215064005,14.727161729150218,0.004681518895614412,rank 13,0.000793170036226476,1.4577163967022244e-06,0.06215851733841888,0.2315097259918372,19.190897792146558,2.566146829171737
68,157,2112,4,3,11.66496650179343,11.495020431874165,0.014784320821912278,rank 13,0.0010816099041086602,5.211055331688641e-08,0.05497865332111545,0.13295264091345957,10.354485447608065,3.0875380958476737
69,801,1720,7,1,12.20359861967896,12.166094123387522,0.0030827064061045295,rank 13,0.0004380581733995914,6.464711432840886e-09,0.04441112715358205,0.2294134372614428,9.614779815733282,6.054255433852113
70,1071,531,7,0,12.22463448133805,12.165855211640842,0.00483149508806946,rank 13,0.0008170091344973374,3.0804667905393046e-07,0.05359523335766503,0.2862991988021898,14.9229398333925,3.2376278591521306
71,1580,437,0,5,13.615604057442098,13.554581224698122,0.004502007972978506,rank 13,0.0008041318808416076,3.985450158783266e-08,0.05604425341526381,0.19563051495246034,14.861190491669074,3.0710187853272726
72,1835,2319,2,9,11.820090114766643,11.497706559195347,0.028038944454837234,rank 13,0.001044198934812668,1.657889166395421e-06,0.04827690824961943,0.29230191926289095,21.981749453249325,3.293273475312233
73,1544,1013,5,6,8.887616950174113,8.767849071872561,0.013659892787818428,rank 13,0.0008614328095818413,2.688867828393171e-07,0.03913657801433502,0.22207123903431303,15.989703708245818,3.341605498848245
