method,rank,head_parameters,decoder_parameters,vae_parameters,teacher_head_parameters,head_compression,teacher_output_rmse,worst_local_length_distortion,p95_local_length_distortion,pass_5_percent,teacher_triplet_agreement,reconstruction_mse,reconstruction_psnr,minimum_teacher_metric_eigenvalue,weighted_svd_next_singular_value,geometry_covariance_multiplier,geometry_trace_weight,seed,teacher_epochs,teacher_train_examples,covariance_sample_count,metric_sample_count,reconstruction_sample_count
raw,11,10112,14464,123460,50960,5.0395569620253164,0.0924307451659628,0.2519035060687219,0.15044765896969955,False,0.9428333333333333,0.0420833301307653,13.758899009790468,2.868070361143945,2.473975458590748,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,12,10960,15312,124308,50960,4.649635036496351,0.09136247774744265,0.24293222272271175,0.14514215025144492,False,0.9451666666666667,0.04188196086370354,13.779729933649566,2.868070361143945,2.4421402619630617,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,13,11808,16160,125156,50960,4.315718157181572,0.08925288783487455,0.2321291486715521,0.1369877369518164,False,0.9491666666666667,0.041497575349902144,13.819772778161125,2.868070361143945,2.4052235525670995,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,14,12656,17008,126004,50960,4.0265486725663715,0.08914277425237828,0.23187650342650312,0.13547165195960656,False,0.9493333333333334,0.041475157205922625,13.822119591665235,2.868070361143945,2.3737813947618975,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,15,13504,17856,126852,50960,3.773696682464455,0.08875520516296731,0.2269323512049164,0.13344274378514606,False,0.9515,0.04139700835393184,13.830310429932279,2.868070361143945,2.355624330425267,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,16,14352,18704,127700,50960,3.550724637681159,0.08859934984190557,0.2266081744303453,0.1333204997871295,False,0.9518333333333333,0.04136946280816286,13.83320118480009,2.868070361143945,2.3275007632783944,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,17,15200,19552,128548,50960,3.3526315789473684,0.08837106260788885,0.22624915816902158,0.13193062974154826,False,0.9523333333333334,0.04132998376640723,13.837347653004633,2.868070361143945,2.300058065847828,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,18,16048,20400,129396,50960,3.1754735792622135,0.08821507635701135,0.22428857535415292,0.13150962114704984,False,0.9528333333333333,0.04129810314144844,13.840698954167328,2.868070361143945,2.276310578217225,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,19,16896,21248,130244,50960,3.016098484848485,0.08756719397175092,0.21759838840592194,0.12746375739691188,False,0.9541666666666667,0.041186684282598994,13.852431693383743,2.868070361143945,2.250351777496926,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,20,17744,22096,131092,50960,2.871956717763751,0.08641477644653549,0.2074020441945732,0.12295057871100837,False,0.96,0.040986713346354765,13.873569056105515,2.868070361143945,2.220300574793966,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,21,18592,22944,131940,50960,2.7409638554216866,0.08580533281597061,0.20106880686425077,0.12104639828090255,False,0.9598333333333333,0.04087939861700078,13.88495501797981,2.868070361143945,2.2076820273983455,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,22,19440,23792,132788,50960,2.6213991769547325,0.08458566511876811,0.19738469530891412,0.11847385537212347,False,0.9608333333333333,0.04067718046737727,13.906491577624909,2.868070361143945,2.1845476502554897,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,23,20288,24640,133636,50960,2.5118296529968456,0.08400356646589582,0.19736830202255096,0.1161360167380904,False,0.9615,0.04057308624525222,13.91761955857315,2.868070361143945,2.174809669518212,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,24,21136,25488,134484,50960,2.4110522331566995,0.08349061802907386,0.19239013176073216,0.11340750882038296,False,0.9631666666666666,0.040482821664365606,13.927292246624212,2.868070361143945,2.141426801508555,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,25,21984,26336,135332,50960,2.3180494905385736,0.08320054434516609,0.18858599720724156,0.10943027534247642,False,0.964,0.04042911798990041,13.933057332222884,2.868070361143945,2.1347463054667837,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
