shape,relative_edge_noise,seed,stage,alpha,edge_stress,convexity_penalty,local_convex_max_signed
sphere,0.005,1.0,8.0,0.2,1.0670801899153846e-09,0.0,-0.06767778860131217
sphere,0.005,1.0,9.0,0.225,1.237089681548272e-09,0.0,-0.06761494365785627
sphere,0.005,1.0,10.0,0.25,1.4886896109077011e-09,0.0,-0.06755316772684114
sphere,0.005,1.0,11.0,0.275,1.628436058870572e-09,0.0,-0.06749304613440875
sphere,0.005,1.0,12.0,0.30000000000000004,1.8753385084272294e-09,0.0,-0.06743282830328245
sphere,0.005,1.0,13.0,0.325,1.9710397749665085e-09,0.0,-0.0673734062412833
sphere,0.005,1.0,14.0,0.35000000000000003,2.0099050878654774e-09,0.0,-0.0673178023950135
sphere,0.005,1.0,15.0,0.375,2.096956434587434e-09,0.0,-0.0672614152794635
sphere,0.005,1.0,16.0,0.4,2.1687346137801756e-09,0.0,-0.06710886368141514
sphere,0.005,1.0,17.0,0.42500000000000004,2.385909058938207e-09,0.0,-0.06689095780765468
sphere,0.005,1.0,18.0,0.45,2.3946239778605318e-09,0.0,-0.06657251880104181
sphere,0.005,1.0,19.0,0.47500000000000003,2.2841909305065724e-09,0.0,-0.06625555837195903
sphere,0.005,1.0,20.0,0.5,2.2124654004508412e-09,0.0,-0.065940234258743
sphere,0.005,1.0,21.0,0.525,2.295284692975375e-09,0.0,-0.06562417395020657
sphere,0.005,1.0,22.0,0.55,2.3905900040903313e-09,0.0,-0.0653050508306439
sphere,0.005,1.0,23.0,0.5750000000000001,2.508396509903514e-09,0.0,-0.06499427679277235
sphere,0.005,1.0,24.0,0.6000000000000001,2.5895901766067963e-09,0.0,-0.06469097885912554
sphere,0.005,1.0,25.0,0.625,2.6886270649444806e-09,0.0,-0.06438671795329674
sphere,0.005,1.0,26.0,0.65,2.9586158856098824e-09,0.0,-0.0640780523159188
sphere,0.005,1.0,27.0,0.675,2.6984445258783805e-10,0.0,-0.06381387559124416
sphere,0.005,1.0,28.0,0.7000000000000001,2.2674399193424626e-10,0.0,-0.06354107020222655
sphere,0.005,1.0,29.0,0.7250000000000001,4.92724435023634e-10,0.0,-0.06323776457330119
sphere,0.005,1.0,30.0,0.75,8.041185328108679e-10,0.0,-0.06293747425177561
sphere,0.005,1.0,31.0,0.775,1.144013326377315e-09,0.0,-0.06263926462166941
sphere,0.005,1.0,32.0,0.8,1.5291665898064483e-09,0.0,-0.062337234927925506
sphere,0.005,1.0,33.0,0.8250000000000001,1.839777969170696e-09,0.0,-0.06204742832879686
sphere,0.005,1.0,34.0,0.8500000000000001,2.1292956571770176e-09,0.0,-0.06175572201191693
sphere,0.005,1.0,35.0,0.875,2.4153530081999486e-09,0.0,-0.06147370408920415
sphere,0.005,1.0,36.0,0.9,2.5126313358241995e-09,0.0,-0.06118423094861938
sphere,0.005,1.0,37.0,0.925,2.7807545405938874e-09,0.0,-0.06090888633775247
sphere,0.005,1.0,38.0,0.9500000000000001,3.168475970229631e-09,0.0,-0.06062835829277312
sphere,0.005,1.0,39.0,0.9750000000000001,3.3139780461709846e-09,0.0,-0.060353172681637375
sphere,0.005,1.0,40.0,1.0,3.5840393419869436e-09,0.0,-0.06006837390490254
sphere,0.005,2.0,0.0,0.0,1.3947973166431891e-33,0.0,-0.07003143651582355
sphere,0.005,2.0,1.0,0.025,1.774916440189901e-10,0.0,-0.07003211991695694
sphere,0.005,2.0,2.0,0.05,6.571473199126907e-10,0.0,-0.07003275754228307
sphere,0.005,2.0,3.0,0.07500000000000001,1.2599801188197985e-09,0.0,-0.07003290784713179
sphere,0.005,2.0,4.0,0.1,1.927363806249379e-09,0.0,-0.07001335614119301
sphere,0.005,2.0,5.0,0.125,2.6009153544143646e-09,0.0,-0.06972418088807099
sphere,0.005,2.0,6.0,0.15000000000000002,3.2384747596206847e-09,0.0,-0.06943583507076286
sphere,0.005,2.0,7.0,0.17500000000000002,3.82161062937572e-09,0.0,-0.06914824704180245
sphere,0.005,2.0,8.0,0.2,4.328395530297085e-09,0.0,-0.068862441566003
sphere,0.005,2.0,9.0,0.225,3.8092206809647054e-11,0.0,-0.06857253571344948
