model,true_sphere_distance,learned_distance
r2_gw,0.2986922562122345,0.08753637969493866
r2_gw,0.7702997922897339,0.5712636709213257
r2_gw,0.03794325515627861,0.007803912740200758
r2_gw,0.8739215731620789,0.48039332032203674
r2_gw,0.3395068049430847,0.6140731573104858
r2_gw,0.654849112033844,0.09348331391811371
r2_gw,0.5386709570884705,0.283947229385376
r2_gw,0.6561515927314758,0.38788673281669617
r2_gw,0.9899727702140808,0.7090719938278198
r2_gw,0.5599413514137268,0.4293878376483917
r2_gw,0.8140038251876831,0.5830069184303284
r2_gw,0.3154250979423523,0.2979384660720825
r2_gw,0.7679799795150757,0.5391534566879272
r2_gw,0.8660836815834045,0.6370026469230652
r2_gw,0.30047348141670227,0.1439998596906662
r2_gw,0.9548084735870361,0.6398407816886902
r2_gw,0.2967735826969147,0.12383441627025604
r2_gw,0.5829366445541382,0.3676058351993561
r2_gw,0.6776665449142456,0.5121423602104187
r2_gw,0.7179260849952698,0.39102455973625183
r2_gw,0.827783465385437,0.5744978785514832
r2_gw,0.2622723877429962,0.11592300236225128
r2_gw,0.9265710711479187,0.5834200978279114
r2_gw,0.3911922574043274,0.09157751500606537
r2_gw,0.9274432063102722,0.23263011872768402
r2_gw,0.9869170188903809,0.6357834339141846
r2_gw,0.7078163623809814,0.4140876829624176
r2_gw,0.7667085528373718,0.512549638748169
r2_gw,0.8673141598701477,0.7941434383392334
r2_gw,0.9298540949821472,0.5373939275741577
r2_gw,0.4740205407142639,0.14204071462154388
r2_gw,0.7273846864700317,0.2666807472705841
r2_gw,0.3566177487373352,0.23170992732048035
r2_gw,0.7493604421615601,0.7088436484336853
r2_gw,0.4315468668937683,0.16196846961975098
r2_gw,0.9236363172531128,0.49978727102279663
r2_gw,0.8920766711235046,0.535320520401001
r2_gw,0.9109812378883362,0.4665679335594177
r2_gw,0.7710689306259155,0.7541936635971069
r2_gw,0.6917054057121277,0.4344143569469452
r2_gw,0.2567540109157562,0.1671479493379593
r2_gw,0.5018077492713928,0.4482657015323639
r2_gw,0.6725969314575195,0.7757225632667542
r2_gw,0.9557288289070129,0.5332306623458862
r2_gw,0.6050311923027039,0.5752219557762146
r2_gw,0.7615291476249695,0.19635716080665588
r2_gw,0.8584608435630798,0.608803927898407
r2_gw,0.8810744881629944,0.7834093570709229
r2_gw,0.8069679737091064,0.4593247175216675
r2_gw,0.9922497868537903,0.6885533332824707
r2_gw,0.9255784749984741,0.7104367017745972
r2_gw,0.7771890759468079,0.554011881351471
r2_gw,0.5848946571350098,0.25352558493614197
r2_gw,0.5856286883354187,0.387147456407547
r2_gw,0.85309898853302,0.2356622964143753
r2_gw,0.7132644057273865,0.44330063462257385
r2_gw,0.7413817048072815,0.763892650604248
r2_gw,0.20502957701683044,0.12370771169662476
r2_gw,0.5648723244667053,0.4338318109512329
r2_gw,0.7231636047363281,0.5735461711883545
r2_gw,0.7104453444480896,0.17255346477031708
r2_gw,0.8601154088973999,0.5985294580459595
r2_gw,0.8036854863166809,0.7838716506958008
r2_gw,0.4179709255695343,0.7987189292907715
r2_gw,0.19956058263778687,0.06999687105417252
r2_gw,0.9540261030197144,0.6556138396263123
r2_gw,0.39981579780578613,0.13942497968673706
r2_gw,0.3700639605522156,0.11718706041574478
r2_gw,0.9851526021957397,0.6059287786483765
r2_gw,0.8377223610877991,0.5921252965927124
r2_gw,0.30375778675079346,0.8343794941902161
r2_gw,0.750292956829071,0.47085288166999817
r2_gw,0.4388105571269989,0.29951992630958557
r2_gw,0.9582942128181458,0.6748548150062561
r2_gw,0.9394676685333252,0.4986076354980469
r2_gw,0.44544145464897156,0.4069782495498657
r2_gw,0.9853754043579102,0.6752017140388489
r2_gw,0.7058406472206116,0.40794622898101807
r2_gw,0.8375343084335327,0.5025887489318848
r2_gw,0.8894139528274536,0.11445298045873642
r2_gw,0.8970414400100708,0.646313488483429
r2_gw,0.7407312393188477,0.6423045992851257
r2_gw,0.9525551795959473,0.5690556764602661
r2_gw,0.5015314221382141,0.2609914243221283
r2_gw,0.5060100555419922,0.4468833804130554
r2_gw,0.8905029892921448,0.5532684326171875
r2_gw,0.42888566851615906,0.17347870767116547
r2_gw,0.7326267957687378,0.7076771259307861
r2_gw,0.600385844707489,0.45512914657592773
r2_gw,0.6524642705917358,0.3380380868911743
r2_gw,0.2395753562450409,0.18327398598194122
r2_gw,0.08468231558799744,0.3108062148094177
r2_gw,0.09870635718107224,0.0447508804500103
r2_gw,0.8276526927947998,0.5394229292869568
r2_gw,0.7424330711364746,0.4912700057029724
r2_gw,0.9347755312919617,0.5882511734962463
r2_gw,0.7630022168159485,0.48523232340812683
r2_gw,0.2903909683227539,0.06871994584798813
r2_gw,0.817653477191925,0.4972873032093048
r2_gw,0.9899498820304871,0.6198378801345825
r2_gw,0.44646206498146057,0.289806067943573
r2_gw,0.9082847237586975,0.722308337688446
r2_gw,0.9929687976837158,0.5837088823318481
r2_gw,0.9648972749710083,0.625594973564148
r2_gw,0.405784010887146,0.05546265468001366
r2_gw,0.8907796740531921,0.612831711769104
r2_gw,0.880765438079834,0.4734302759170532
r2_gw,0.6965508460998535,0.5089106559753418
r2_gw,0.990123987197876,0.5238586068153381
r2_gw,0.9671369791030884,0.5923927426338196
